Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Maria,Takala,Ormuskatu 0,Kolari,38318,Finland,FI,19431003-300K,+358,+358 96 9467814,1943-10-03,True
Anita,Karlsson,Skolgränd 770,Motala,43969,Sverige,SE,19680915-3556,+46,0076-342 04,1968-09-15,True
Maria,Johansson,Björkgränd 20,Motala,89920,Sverige,SE,19731124-5147,+46,+46 (0)55 68 54 35,1973-11-24,True
Helena,Parviainen,Haagan pappilanbulevardi 52,Lapinjärvi,90106,Finland,FI,19420610-281F,+358,+358579434035,1942-06-10,True
Elise,Hansen,Dahlflata 30C,Runenes,2117,Norge,NO,19821207-0440,+47,45223368,1982-12-07,True
Gunnar,Bengtsson,Industrigatan 175,Alingsås,19288,Sverige,SE,19731028-2391,+46,026-75 73 21,1973-10-28,True
Henrik,Andersson,Strandgatan 186,Mölndal,78729,Sverige,SE,19990928-7790,+46,08-614 656 71,1999-09-28,True
Signe,Söderberg,Kyrkogränd 034,Gävle,59620,Sverige,SE,19711008-0375,+46,049-25 97 57,1971-10-08,True
Dustin,Allen,Andrea Oval 0362,East Lukehaven,57003,Danmark,DK,19910312-3346,+45,+1-876-863-9853x964,1991-03-12,True
Ian,Roberts,French Port 58329,Loweberg,39707,Danmark,DK,19831130-6880,+45,5148185897,1983-11-30,True
Kent,Bergqvist,Kyrkogränd 6,Stockholm,48020,Sverige,SE,19451009-7437,+46,08-638 346 14,1945-10-09,True
Christopher,Melton,Stephanie Islands 4090,New Robertfort,01126,Danmark,DK,19851104-3918,+45,601.659.6107x35599,1985-11-04,True
Camilla,Olsen,Birkelandhaugen 3B,Bjørgvik,4030,Norge,NO,19630727-9486,+47,50 65 69 79,1963-07-27,True
Rune,Engen,Holmmarka 095,Kjerstistrand,2621,Norge,NO,19961230-0089,+47,11 53 29 25,1996-12-30,True
Mats,Lundberg,Kvarnstigen 2,Sandviken,56318,Sverige,SE,19751110-5322,+46,024-31 09 88,1975-11-10,True
Rut,Eriksson,Fabriksvägen 304,Karlskrona,27563,Sverige,SE,19690703-1152,+46,015-94 92 48,1969-07-03,True
Christoffer,Olausson,Furuvägen 328,Uppsala,10670,Sverige,SE,19921002-8482,+46,08-42 40 84,1992-10-02,True
Kent,Lindblad,Storvägen 8,Skellefteå,46856,Sverige,SE,19800306-8914,+46,0876-800 15,1980-03-06,True
Maja,Göransson,Parkstigen 372,Uddevalla,36379,Sverige,SE,19400207-1054,+46,0610-58 77 80,1940-02-07,True
Amy,Taylor,Kathleen Ridge 32542,Shanemouth,79541,Danmark,DK,19580827-6915,+45,(359)487-4031,1958-08-27,True
Donald,Shaffer,Hutchinson Harbor 94215,Russellmouth,46949,Danmark,DK,19770102-6882,+45,960-381-7771x917,1977-01-02,True
Nils,Ellingsen,Jacobsenlia 5,Knudsen,8618,Norge,NO,19531126-6879,+47,82 54 75 61,1953-11-26,True
Olav,Andreassen,Holmengen 42,Hansen,2938,Norge,NO,19770513-0760,+47,59405985,1977-05-13,True
Joseph,Evans,Coleman Loop 69469,North Amanda,53800,Danmark,DK,19560303-8312,+45,738.541.3653,1956-03-03,True
Elisabeth,Virtanen,Orapihlajapolku 47,Soini,43353,Finland,FI,19511117-372S,+358,+358341353619,1951-11-17,True
Janet,Brown,Ellison Via 6971,Yoderburgh,16080,Danmark,DK,19450425-8812,+45,503-407-8650x1368,1945-04-25,True
Helge,Ellingsen,Solheimrøa 694,Evensen,0467,Norge,NO,19830828-2378,+47,+47 67 85 85 64,1983-08-28,True
Mathias,Nilsson,Strandstigen 965,Örebro,47526,Sverige,SE,19680604-1426,+46,0459-23 76 66,1968-06-04,True
Ivar,Johansson,Villastigen 50,Lidingö,48504,Sverige,SE,19690104-6750,+46,08-431 221 71,1969-01-04,True
Emil,Aasen,Hellandrøa 3,Martinsen,7392,Norge,NO,19910710-4961,+47,93752190,1991-07-10,True
Anders,Gustafsson,Trädgårdstorget 667,Lidköping,25720,Sverige,SE,19930723-5724,+46,019-700 12 17,1993-07-23,True
Jens,Thorsen,Jørgensenstubben 235,Solberg,4604,Norge,NO,19580102-2107,+47,924 14 403,1958-01-02,True
William,Young,Carmen Land 67555,Amyport,46421,Danmark,DK,19800506-6089,+45,001-286-688-5172x90232,1980-05-06,True
Erik,Johansson,Björkgränd 99,Uddevalla,54126,Sverige,SE,19680503-0077,+46,+46 (0)970 196 21,1968-05-03,True
Stefan,Johansson,Storgränd 212,Motala,31192,Sverige,SE,19460923-9934,+46,08-274 176 40,1946-09-23,True
Johannes,Strand,Christensengata 80,Rogerdal,4605,Norge,NO,19521029-0499,+47,02 81 59 40,1952-10-29,True
Lars,Lie,Haugengropa 3,Nilsen,0667,Norge,NO,19480325-8559,+47,79886649,1948-03-25,True
Kristina,Johansson,Backvägen 2,Helsingborg,61667,Sverige,SE,19790218-3850,+46,08-772 112 10,1979-02-18,True
Justin,Guzman,Raymond Way 7731,Lake Michaelport,33021,Danmark,DK,19730502-6399,+45,338.919.8002x09248,1973-05-02,True
Karl,Mäkelä,Rapakivenkatu 671,Tornio,47549,Finland,FI,19731021-8159,+358,0275853903,1973-10-21,True
Matti,Lepistö,Oraskatu 59,Naantali,21791,Finland,FI,19990219-2088,+358,+358 92 6383686,1999-02-19,True
Henrik,Jansson,Trädgårdsvägen 8,Sundsvall,76691,Sverige,SE,19690917-3743,+46,08-54 70 17,1969-09-17,True
Gustaf,Gustafsson,Parkvägen 982,Halmstad,92467,Sverige,SE,19720926-6523,+46,08-773 65 40,1972-09-26,True
Marjatta,Kainulainen,Tuohikoivuntie 51,Loimaa,92866,Finland,FI,19910516-205K,358,+358553332426,1991-05-16,True
Maria,Persson,Skoltorget 485,Lidköping,98996,Sverige,SE,19781219-0027,+46,0656-30 22 33,1978-12-19,True
Sofie,Sivertsen,Karlsenvollen 513,Olsen,9660,Norge,NO,19761104-4351,+47,08637534,1976-11-04,True
Maj,Nilsson,Aspstigen 88,Växjö,81747,Sverige,SE,19630403-8709,+46,074-330 23 71,1963-04-03,True
Thomas,Watkins,Bobby Coves 6592,Kirstenville,13487,Danmark,DK,19980802-2947,+45,972-600-0915x29503,1998-08-02,True
John,Dillon,Regina Underpass 42256,Toddstad,70507,Danmark,DK,19841105-5014,+45,+1-261-351-4256x1706,1984-11-05,True
Sander,Nygård,Rønninggata 1,Ali,8266,Norge,NO,19490829-0065,+47,81 74 06 04,1949-08-29,True
Kenneth,Davis,Yates Fork 7620,North Tracey,97614,Danmark,DK,19691003-0739,+45,680-395-8718,1969-10-03,True
Matilda,Persson,Trädgårdsgatan 430,Alingsås,28340,Sverige,SE,19870725-5477,+46,08-425 13 87,1987-07-25,True
Marianne,Rasmussen,Sætherskogen 5,Gundersen,9703,Norge,NO,19971216-9717,+47,52899895,1997-12-16,True
Christina,Karlsson,Kvarnstigen 7,Sundsvall,80596,Sverige,SE,19470609-3802,+46,+46 (0)076 582 41,1947-06-09,True
Sondre,Edvardsen,Kristoffersenalléen 3E,Eriksen,1890,Norge,NO,19421029-8381,+47,31319754,1942-10-29,True
David,Peters,Davis Square 13373,East Mark,88698,Danmark,DK,19951019-3685,+45,(279)494-2202,1995-10-19,True
Kalervo,Lehtonen,Orapihlajatie 7,Multia,53829,Finland,FI,19720215-624L,+358,(+358) 391518887,1972-02-15,True
Christian,Magnusson,Industrigränd 32,Mölndal,22049,Sverige,SE,19950502-9543,+46,084-117 82 34,1995-05-02,True
Anna,Aas,Lundtoppen 36,Karlsen,9432,Norge,NO,19990916-4396,+47,48 49 79 51,1999-09-16,True
Steinar,Lunde,Tveitgata 22B,Helenevær,3156,Norge,NO,19590815-2180,+47,933 57 935,1959-08-15,True
Evy,Johansson,Ringtorget 54,Luleå,96543,Sverige,SE,19530915-7777,+46,083-07 67 49,1953-09-15,True
Elisabeth,Andersen,Halvorsenalléen 1,Torsund,9243,Norge,NO,19800425-4248,+47,+47 72 24 00 04,1980-04-25,True
Timothy,Hansen,Michael Throughway 588,Christinaport,31434,Danmark,DK,19870306-8399,+45,235-306-3143,1987-03-06,True
Peter,Svärd,Backvägen 919,Eskilstuna,21355,Sverige,SE,19921227-2506,+46,08-979 452 45,1992-12-27,True
Jenny,Nilsson,Industristigen 1,Stockholm,47737,Sverige,SE,19510809-9190,46,08-627 879 34,1951-08-09,True
Susanne,Olsson,Skogsvägen 1,Nyköping,77005,Sverige,SE,19450225-8628,+46,094-153 18 42,1945-02-25,True
Alexis,Moreno,Olivia Forks 545,Justinbury,59651,Danmark,DK,19490412-8694,+45,403-201-8239,1949-04-12,True
Marius,Jenssen,Andreassenmarka 13B,Sivertsen,2539,Norge,NO,19560914-4955,+47,991 22 979,1956-09-14,True
Fredrik,Johannessen,Ellingsenåsen 3A,Martestrand,4462,Norge,NO,19920427-5170,+47,18 30 15 58,1992-04-27,True
Stephanie,Reyes,Patterson Spring 51724,Melaniechester,85109,Danmark,DK,19810427-3702,+45,766.766.1501x7412,1981-04-27,True
Erik,Andersson,Stationsgatan 0,Örebro,36768,Sverige,SE,19451005-6746,+46,08-05 86 23,1945-10-05,True
Peter,Pettersson,Industrigatan 58,Umeå,70100,Sverige,SE,19540128-1532,+46,08-315 05 96,1954-01-28,True
Rolf,Sandberg,Granstigen 54,Sandviken,20547,Sverige,SE,19980308-4253,+46,08-563 90 55,1998-03-08,True
Hannu,Koski,Chydeniuksenbulevardi 0,Eurajoki,48407,Finland,FI,19990323-336S,+358,(+358) 728866610,1999-03-23,True
Amanda,Fransson,Stationsgränd 6,Trollhättan,42986,Sverige,SE,19660630-9621,+46,+46 (0)286 410 83,1966-06-30,True
Robert,Isaksen,Myhreåsen 67,Henriksen,7861,Norge,NO,19990407-2965,+47,+4750170702,1999-04-07,True
Sture,Johansson,Kvarntorget 8,Karlstad,13271,Sverige,SE,19650530-2056,+46,08-224 366 37,1965-05-30,True
Daniel,Skoglund,Skogsgatan 19,Skellefteå,19120,Sverige,SE,19631027-9528,+46,0555-21 13 74,1963-10-27,True
Nicklas,Olsson,Grangränd 91,Karlskoga,91137,Sverige,SE,19830414-2217,+46,0955-91 34 98,1983-04-14,True
Marie-Louise,Axelsson,Grangatan 061,Gävle,77244,Sverige,SE,20001226-5599,+46,+46 (0)392 216 87,2000-12-26,True
Linn,Hanssen,Hansenåsen 599,Mayfoss,4048,Norge,NO,19760319-9885,+47,95276644,1976-03-19,True
Simen,Næss,Halvorsenbakken 4D,Hanssen,8585,Norge,NO,19660911-9479,+47,80844735,1966-09-11,True
Åke,Pettersson,Industrigränd 274,Lund,25964,Sverige,SE,19480316-7064,+46,+46 (0)723 234 11,1948-03-16,True
Helene,Andresen,Haugenlyngen 5,Johnsen,8428,Norge,NO,19641119-8669,+47,49123649,1964-11-19,True
Karolina,Mattsson,Kyrkstigen 361,Västerås,67369,Sverige,SE,19530217-6055,+46,0885-836 82,1953-02-17,True
Robert,Ellingsen,Bergringen 5,Knutsen,3328,Norge,NO,19450305-9823,+47,57812048,1945-03-05,True
Pia,Eriksson,Kyrkgatan 37,Trelleborg,95933,Sverige,SE,19400220-5329,+46,+46 (0)693 954 26,1940-02-20,True
Åsa,Henriksson,Kyrkotorget 6,Norrköping,50524,Sverige,SE,19640725-5888,+46,012-979 41 17,1964-07-25,True
Brita,Svensson,Industrivägen 0,Norrköping,86971,Sverige,SE,19530608-6153,+46,+46 (0)466 742 87,1953-06-08,True
Birgitta,Andersson,Parkvägen 30,Uppsala,30186,Sverige,SE,19640813-7630,+46,+46 (0)11 34 01 00,1964-08-13,True
Crystal,Mccormick,Jasmine Forest 1848,Campbellview,62685,Danmark,DK,20000426-7991,+45,+1-697-860-2226x15090,2000-04-26,True
Per,Jansson,Parkgränd 101,Ängelholm,72622,Sverige,SE,19860712-5438,+46,+46 (0)8 887 894 39,1986-07-12,True
Anna,Hallberg,Järnvägsvägen 57,Varberg,60010,Sverige,SE,19890501-0845,+46,096-937 49 49,1989-05-01,True
Ruth,Dixon,Kathleen Gateway 17295,Lake Terri,70538,Danmark,DK,19450828-2806,+45,+1-724-306-8576x4188,1945-08-28,True
Kenneth,Andersson,Kvarnvägen 8,Södertälje,73457,Sverige,SE,19700909-0503,+46,0945-636 27,1970-09-09,True
Gunn,Abrahamsen,Hanssenmarka 3,Iversen,4563,Norge,NO,19910722-0560,+47,82468789,1991-07-22,True
Åke,Johansson,Fabriksgränd 332,Borlänge,59284,Sverige,SE,19830713-0221,+46,08-140 26 26,1983-07-13,True
Kirsten,Evensen,Iversenstubben 7A,Magnusstad,7990,Norge,NO,19500925-3681,+47,446 01 237,1950-09-25,True
Per,Larsson,Ekgatan 048,Kristianstad,27269,Sverige,SE,19880123-7904,+46,+46 (0)90 40 33 12,1988-01-23,True
Elisabeth,Svensson,Ringgatan 180,Ängelholm,64085,Sverige,SE,19870704-7831,+46,0106-355 42,1987-07-04,True
Margareta,Olsson,Åkertorget 48,Varberg,21512,Sverige,SE,19571202-4165,+46,020-42 93 77,1957-12-02,True
Carrie,Flores,Collier Route 567,North Adam,80989,Danmark,DK,19971014-2275,+45,964.961.2816,1997-10-14,True
Karoline,Jenssen,Evensenflata 962,Hagen,7412,Norge,NO,19510527-6542,+47,93 25 08 46,1951-05-27,True
Mattias,Gustavsson,Idrottsgränd 34,Kalmar,70825,Sverige,SE,19490812-6588,+46,+46 (0)091 360 22,1949-08-12,True
Lasse,Laitinen,Runoilijanbulevardi 021,Aura,84243,Finland,FI,19680607-237F,+358,+358 027724892,1968-06-07,True
Richard,Söderberg,Parkvägen 14,Helsingborg,68874,Sverige,SE,19910805-6232,+46,08-433 970 10,1991-08-05,True
Marte,Holm,Gulbrandsenhøgda 7,Øyvindstrøm,9710,Norge,NO,19741218-2335,+47,45236647,1974-12-18,True
James,Jackson,Brian Shores 93374,Port Scott,43044,Danmark,DK,19931018-3840,+45,306-613-9935,1993-10-18,True
Lars,Pettersson,Skolgatan 94,Örnsköldsvik,70516,Sverige,SE,19800903-2707,+46,08-85 30 35,1980-09-03,True
Deanna,Wilson,Nguyen Radial 89882,Chapmanborough,25724,Danmark,DK,19940926-5842,+45,912.960.4656x7264,1994-09-26,True
Evan,Saunders,Teresa Rue 761,Port Shawnland,31209,Danmark,DK,19600914-7096,+45,(956)930-9016,1960-09-14,True
Vilde,Knudsen,Evensenmarka 4,Fredriksen,9509,Norge,NO,19451127-6490,+47,959 00 314,1945-11-27,True
Ari,Virtanen,Ieskatu 343,Pyhäjoki,83528,Finland,FI,19660924-3926,+358,+358 030959249,1966-09-24,True
Tom,Lundberg,Fabriksgatan 099,Borås,60141,Sverige,SE,19960712-7952,+46,08-002 500 16,1996-07-12,True
Ulla,Johansson,Åkergatan 240,Alingsås,73993,Sverige,SE,19920908-3837,+46,+46 (0)794 657 37,1992-09-08,True
Elisabeth,Eriksson,Ängsgatan 355,Borås,59520,Sverige,SE,19840413-7413,+46,+46 (0)69 46 51 46,1984-04-13,True
Marie,Karlsson,Bäckgatan 75,Uddevalla,69294,Sverige,SE,19530218-7246,+46,0992-56 24 62,1953-02-18,True
Hannele,Hiltunen,Veropellontie 82,Sievi,72760,Finland,FI,19740123-231B,+358,007 272 6148,1974-01-23,True
Henry,Vikström,Kyrkvägen 814,Skellefteå,69484,Sverige,SE,19790531-2578,+46,063-959 95 70,1979-05-31,True
Stefan,Nilsson,Idrottsgatan 3,Linköping,18341,Sverige,SE,19480603-0398,+46,0137-154 00,1948-06-03,True
Eivor,Karlsson,Parkvägen 675,Örebro,63794,Sverige,SE,19660406-6156,+46,08-734 548 85,1966-04-06,True
Madison,Brandt,Nicholas Mountains 126,Jamiehaven,73843,Danmark,DK,19831010-5028,+45,3985679782,1983-10-10,True
Scott,Hicks,Stanley Crossing 75643,Serranoview,41296,Danmark,DK,19420602-4351,+45,(474)348-5073x726,1942-06-02,True
Tapani,Valtonen,Wavulininkuja 8,Lempäälä,67748,Finland,FI,19921207-399J,+358,066 700 0576,1992-12-07,True
Britt,Blomqvist,Ringtorget 44,Luleå,79555,Sverige,SE,19520502-8742,+46,+46 (0)8 779 780 38,1952-05-02,True
Åsa,Gustafsson,Skolgatan 459,Lund,86859,Sverige,SE,19461102-1894,+46,08-000 471 34,1946-11-02,True
Iris,Persson,Ringtorget 511,Östersund,80309,Sverige,SE,19421124-3369,+46,08-86 35 09,1942-11-24,True
Toivo,Luukkonen,Katajaharjunkuja 3,Saarijärvi,04440,Finland,FI,19960731-721L,+358,0719723923,1996-07-31,True
Kurt,Söderlund,Skogsstigen 139,Eskilstuna,88732,Sverige,SE,19760814-8462,+46,08-114 41 36,1976-08-14,True
Eirik,Myklebust,Knutsenhaugen 3,Frodemark,9149,Norge,NO,19840419-1093,+47,49 25 62 79,1984-04-19,True
Lars,Olsson,Bäckgränd 603,Östersund,40349,Sverige,SE,19680828-0805,+46,0317-985 00,1968-08-28,True
